trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
474	112	2	0	3	3	6	2	0.0	1	2012	4	9	1	11.0	16	1	0	0	1349	0.312222222	0.111388889	0.068611111	0.0	0.079444444	0.0	0	0.097777778	0.0	0.22	0.0	0.286932
476	112	2	3	3	3	6	2	0.0	1	2012	4	9	1	16.0	16	1	0	0	1335	0.4975	0.125	0.255	0.0	0.124722222	0.0	0	0.211666667	0.0	0.46	0.0	0.2073489999999999
501	122	0	1	4	3	1	1	1.0	1	2012	4	10	2	12.5	43	1	1	2	1692	0.403888889	0.129444444	0.0	0.0	0.196111111	0.0	0	0.1222222219999999	1.5	0.31	0.0	0.345455
524	126	1	0	4	3	1	1	1.0	1	2012	4	10	2	10.5	50	1	1	1	2532	0.575	0.198611111	0.094722222	0.0	0.2166666669999999	0.0	0	0.124166667	1.5	0.4	0.0	0.331096
525	126	1	1	4	3	1	1	1.0	1	2012	4	10	2	12.0	50	1	1	1	2532	0.567222222	0.185	0.071388889	0.0	0.215555556	0.083333333	1	0.140277778	3.0	0.43	0.0	0.370297
543	129	0	3	4	1	2	1	1.0	1	2012	4	10	2	19.66666667	46	0	1	1	4426	1.0786111109999998	0.384166667	0.197777778	0.0	0.4158333329999999	0.213888889	2	0.297777778	4.5	0.78	0.0	0.317164
549	130	0	1	3	3	6	5	0.0	1	2012	4	10	2	16.0	70	1	0	0	11867	2.719444444	0.8533333329999999	0.220833333	0.416666667	0.133333333	0.083333333	1	0.899444444	0.0	2.01	0.0	0.63218
563	137	0	0	1	1	6	1	1.0	1	2012	4	11	3	7.5	33	0	0	0	1372	0.409166667	0.1425	0.172777778	0.0	0.1541666669999999	0.0	0	0.151944444	1.5	0.32	0.0	0.50457
573	140	0	5	4	5	6	1	1.0	1	2012	4	11	3	16.0	57	1	1	2	3823	1.053333333	0.366944444	0.1186111109999999	0.0	0.635833333	0.0	0	0.304722222	1.5	0.79	0.0	0.297174
581	141	1	0	4	3	1	5	0.0	1	2012	4	11	3	6.0	72	0	1	1	2301	0.590833333	0.206388889	0.176111111	0.0	0.096388889	0.0	0	0.120555556	0.0	0.38	0.0	0.0483870999999999
627	152	1	4	4	3	1	1	0.0	1	2012	4	12	4	18.0	20	0	0	1	29701	6.5625	2.231388889	0.121388889	1.083333333	0.0	0.2	2	1.448888889	5.09	4.88	10.5	0.548696
630	152	2	2	4	3	1	1	0.0	1	2012	4	12	4	18.0	35	1	1	1	29701	6.5625	2.231388889	0.121388889	1.083333333	0.0	0.2	2	1.448888889	5.09	4.88	10.5	0.548696
632	152	3	1	4	3	1	3	0.0	1	2012	4	12	4	15.16666667	13	0	0	1	1822	0.463611111	0.164444444	0.1186111109999999	0.0	0.241666667	0.0	0	0.228333333	0.0	0.47	0.0	0.461071
652	157	1	2	4	4	1	1	1.0	1	2012	4	12	4	9.5	28	1	1	1	1496	0.406666667	0.1022222219999999	0.107777778	0.0	0.195277778	0.088055556	1	0.1047222219999999	3.0	0.31	0.0	0.129973
655	158	0	0	3	3	1	1	1.0	1	2012	4	12	4	15.0	20	1	0	1	2676	0.658611111	0.181388889	0.206666667	0.0	0.2075	0.0	0	0.190555556	1.5	0.5	0.0	0.430029
662	159	1	0	1	1	6	4	1.0	1	2012	4	12	4	8.916666667000001	23	1	1	0	353	0.098055556	0.038333333	0.06	0.0	0.026111111	0.0	0	0.04	1.5	0.08	0.0	0.0
679	164	0	0	1	3	6	1	1.0	1	2012	4	12	4	13.0	32	1	1	0	1073	0.334166667	0.110833333	0.155277778	0.0	0.066666667	0.0	0	0.114166667	1.5	0.28	0.0	0.0778589
689	168	1	0	3	1	6	1	1.0	1	2012	4	12	4	10.0	33	0	1	0	3322	0.7697222220000001	0.310555556	0.174166667	0.0	0.3469444439999999	0.0	0	0.318611111	1.5	0.71	0.0	0.562337
701	173	0	0	2	3	6	4	1.0	1	2012	4	13	5	8.166666667000001	30	1	0	0	1778	0.428888889	0.116388889	0.09	0.0	0.1819444439999999	0.0	0	0.153888889	1.5	0.32	0.0	0.566787
720	178	0	1	1	5	6	1	1.0	1	2012	4	13	5	20.0	22	1	0	0	1294	0.296666667	0.124722222	0.190833333	0.0	0.083611111	0.0	0	0.116388889	1.5	0.28	0.0	0.357995
730	179	3	0	3	1	2	1	1.0	1	2012	4	13	5	9.75	29	1	1	1	1663	0.4108333329999999	0.0991666669999999	0.093888889	0.0	0.1166666669999999	0.0	0	0.112777778	1.5	0.26	0.0	0.408867
788	188	0	3	4	3	6	1	1.0	1	2012	4	14	6	11.5	30	1	0	0	3176	0.814722222	0.235	0.2125	0.0	0.358333333	0.0	0	0.269722222	1.5	0.69	0.0	0.425335
812	196	0	4	3	3	1	4	1.0	1	2012	4	14	6	17.5	25	1	1	1	12037	2.886388889	0.939444444	0.134444444	0.466666667	0.1747222219999999	0.2166666669999999	2	0.8694444440000001	3.35	2.32	0.0	0.592332
820	198	1	0	4	3	6	5	0.0	1	2012	4	15	7	12.5	83	0	0	0	2865	0.872777778	0.285833333	0.232222222	0.0	0.2738888889999999	0.083333333	1	0.165833333	0.0	0.53	0.0	0.489112
831	200	1	3	1	3	2	1	1.0	1	2012	4	15	7	14.16666667	58	1	1	1	1493	0.369166667	0.1066666669999999	0.1819444439999999	0.0	0.081388889	0.0	0	0.076388889	1.5	0.21	0.0	0.0654545
833	200	1	5	1	3	2	1	1.0	1	2012	4	15	7	18.5	58	1	1	1	2367	0.592777778	0.165833333	0.145277778	0.0	0.140277778	0.0	0	0.132777778	1.5	0.35	0.0	0.0439330999999999
862	209	0	0	1	3	2	1	1.0	1	2012	4	15	7	13.0	32	1	0	1	990	0.2869444439999999	0.098055556	0.1425	0.016666667	0.0	0.0	0	0.093333333	1.5	0.18	0.0	0.33631
906	217	1	1	3	3	6	1	0.5	1	2012	4	16	1	21.0	25	0	0	0	12039	2.9675	0.941944444	0.102777778	0.466666667	0.0875	0.2166666669999999	2	0.575833333	3.55	2.03	0.0	0.33671
920	220	1	0	4	3	2	1	1.0	1	2012	4	16	1	16.41666667	46	1	1	1	968	0.274722222	0.081666667	0.124444444	0.0	0.065	0.0	0	0.083333333	1.5	0.18	0.0	0.153333
949	225	1	3	3	5	1	1	1.0	1	2012	4	16	1	16.5	33	1	1	1	2848	0.655833333	0.217222222	0.116944444	0.0	0.303333333	0.0	0	0.2047222219999999	1.5	0.62	0.0	0.38806
955	225	2	5	3	3	1	2	0.0	1	2012	4	16	1	19.83333333	16	1	0	1	5402	1.210555556	0.435	0.052222222	0.0	0.3852777779999999	0.0	0	0.360555556	0.0	1.0	0.0	0.484592
957	226	0	6	3	3	6	5	0.0	1	2012	4	16	1	16.33333333	71	0	0	0	6761	1.550277778	0.557222222	0.295277778	0.2	0.0	0.0	0	0.358055556	0.0	1.05	0.0	0.4251359999999999
962	229	0	0	3	3	6	5	0.0	1	2012	4	16	1	13.0	75	1	0	0	728	0.192777778	0.054166667	0.078888889	0.0	0.064166667	0.0	0	0.106111111	0.0	0.24	0.0	0.0104712
979	232	1	3	1	5	1	1	1.0	1	2012	4	17	2	15.58333333	43	0	1	1	1060	0.272777778	0.088055556	0.056944444	0.0	0.066666667	0.0	0	0.063055556	1.5	0.17	0.0	0.251101
1032	237	3	3	3	2	2	1	0.0	1	2012	4	17	2	18.0	18	1	0	2	3837	0.881388889	0.299722222	0.311111111	0.133333333	0.0	0.0	0	0.181111111	1.7	0.51	0.0	0.77454
1041	240	0	2	4	3	1	5	0.0	1	2012	4	17	2	16.16666667	73	0	1	1	1958	0.482222222	0.1744444439999999	0.166666667	0.0	0.170277778	0.0	0	0.155833333	0.0	0.47	0.0	0.174688
1090	249	1	1	1	2	6	1	1.0	1	2012	4	18	3	8.75	51	1	0	0	1244	0.358333333	0.099444444	0.2288888889999999	0.0	0.044444444	0.0	0	0.133888889	1.5	0.3	0.0	0.244813
1126	255	1	0	3	3	6	1	1.0	1	2012	4	18	3	14.0	52	0	0	0	1256	0.358333333	0.128333333	0.1075	0.0	0.2166666669999999	0.0	0	0.121944444	1.5	0.27	0.0	0.179954
1139	257	1	1	3	2	1	1	1.0	1	2012	4	18	3	8.916666667000001	37	1	0	2	881	0.245833333	0.0725	0.108611111	0.0	0.035	0.0	0	0.066388889	1.5	0.18	0.0	0.343096
1154	260	0	1	3	4	6	1	1.0	1	2012	4	18	3	20.0	43	1	0	0	8943	1.949722222	0.553888889	0.123888889	0.0	0.4658333329999999	0.0	0	0.371388889	1.5	1.27	0.0	0.342558
1155	260	1	0	3	1	6	1	1.0	1	2012	4	18	3	6.0	42	0	0	0	6748	1.516666667	0.486388889	0.105555556	0.0	0.2666666669999999	0.0	0	0.252222222	1.5	0.88	0.0	0.11674
1165	262	1	0	3	2	1	3	0.0	1	2012	4	18	3	7.166666667	14	0	0	2	5944	1.551666667	0.4669444439999999	0.250277778	0.0	0.489166667	0.066666667	1	0.278055556	0.0	1.13	0.0	0.340659
1180	266	0	1	4	5	2	5	0.0	1	2012	4	19	4	13.5	62	0	1	2	14075	3.328055556	1.270833333	0.098333333	0.5	0.123611111	0.166666667	2	0.981944444	0.0	2.2	10.5	0.5909479999999999
1182	266	1	0	3	1	2	1	1.0	1	2012	4	19	4	7.5	56	1	0	2	16631	3.731666667	1.149166667	0.347777778	0.533333333	0.0	0.0	0	1.110555556	4.7	2.43	10.5	0.6573289999999999
1185	267	0	1	1	2	6	1	1.0	1	2012	4	19	4	12.0	29	1	0	0	400	0.098888889	0.041944444	0.0313888889999999	0.0	0.028333333	0.0	0	0.043888889	1.5	0.08	0.0	0.240506
1217	270	4	4	4	3	1	5	0.0	1	2012	4	19	4	19.75	6	1	0	1	1194	0.3777777779999999	0.135555556	0.155833333	0.0	0.166111111	0.0	0	0.105833333	0.0	0.29	0.0	0.6509189999999999
1221	271	1	0	4	1	1	1	1.0	1	2012	4	19	4	7.833333333	55	0	1	1	1112	0.303888889	0.083888889	0.141388889	0.0	0.163055556	0.0	0	0.0991666669999999	1.5	0.25	0.0	0.35014
1246	278	0	4	4	3	1	5	0.0	1	2012	4	19	4	10.33333333	88	1	0	2	1596	0.417777778	0.158888889	0.185833333	0.0	0.1036111109999999	0.0	0	0.132777778	0.0	0.36	0.0	0.135983
1253	279	0	3	4	3	1	1	1.0	1	2012	4	19	4	14.25	60	1	1	1	10023	2.287222222	0.616388889	0.1913888889999999	0.333333333	0.0	0.133333333	1	0.433055556	3.0	1.76	0.0	0.471456
1272	282	0	1	1	2	6	5	0.0	1	2012	4	19	4	15.33333333	33	1	0	0	1483	0.4144444439999999	0.146111111	0.152222222	0.0	0.2125	0.0	0	0.120833333	0.0	0.31	0.0	0.00229885
1285	283	0	0	4	2	1	1	1.0	1	2012	4	20	5	8.333333332999999	51	1	1	2	3983	1.378611111	0.346666667	0.224444444	0.0	0.4	0.0	0	0.2666666669999999	1.5	0.85	0.0	0.197917
1290	283	1	4	4	4	1	1	1.0	1	2012	4	20	5	19.75	47	0	1	2	667	0.166388889	0.0505555559999999	0.090277778	0.0	0.033333333	0.0	0	0.047222222	1.5	0.12	0.0	0.0529411999999999
1291	283	1	5	4	4	1	1	1.0	1	2012	4	20	5	21.5	47	0	1	2	667	0.166388889	0.045833333	0.059166667	0.0	0.0388888889999999	0.0	0	0.034722222	1.5	0.11	0.0	0.04
1366	295	0	2	4	3	1	5	0.0	1	2012	4	20	5	9.333333333	69	1	1	1	358	0.128611111	0.040277778	0.109166667	0.0	0.024444444	0.0	0	0.066388889	0.0	0.13	0.0	0.288703
1370	295	1	1	4	5	1	5	0.0	1	2012	4	20	5	8.833333332999999	70	0	1	1	1720	0.386111111	0.103333333	0.078888889	0.0	0.1555555559999999	0.0	0	0.094444444	0.0	0.27	0.0	0.638235
1385	296	1	3	4	5	2	4	1.0	1	2012	4	20	5	17.66666667	51	1	1	2	2313	0.5408333329999999	0.196944444	0.134166667	0.0	0.35	0.0	0	0.169166667	1.5	0.34	0.0	0.361248
1389	296	2	1	4	5	2	3	0.0	1	2012	4	20	5	15.58333333	12	0	0	2	4255	1.2725	0.509166667	0.251944444	0.0	0.42	0.1	1	0.439444444	0.0	0.95	0.0	0.659924
1402	297	0	0	3	1	6	1	1.0	1	2012	4	20	5	7.833333333	37	0	0	0	9101	2.190833333	0.658611111	0.199444444	0.3833333329999999	0.0	0.0	0	0.6216666670000001	3.3	1.76	10.5	0.5214479999999999
1413	299	1	3	4	5	1	1	1.0	1	2012	4	20	5	13.5	28	0	1	1	1321	0.368333333	0.114722222	0.081388889	0.0	0.114166667	0.0	0	0.096388889	1.5	0.26	0.0	0.230548
1424	302	2	1	1	1	1	5	0.0	1	2012	4	20	5	20.5	60	1	0	1	1299	0.4769444439999999	0.1625	0.0975	0.0	0.223333333	0.0	0	0.144166667	0.0	0.37	0.0	0.342967
1438	305	1	0	4	3	5	1	1.0	1	2012	4	20	5	10.0	35	0	1	1	3061	0.7011111109999999	0.277222222	0.151111111	0.133333333	0.0	0.0	0	0.206666667	1.5	0.72	0.0	0.366935
1447	306	0	3	4	3	1	1	1.0	1	2012	4	20	5	15.0	33	1	1	1	1355	0.3469444439999999	0.110833333	0.162222222	0.0	0.123055556	0.0	0	0.123055556	1.5	0.29	0.0	0.2370199999999999
1457	308	0	5	4	3	1	1	1.0	1	2012	4	21	6	17.0	57	0	1	1	6098	1.465	0.504722222	0.160555556	0.0	0.385	0.0	0	0.343611111	1.5	1.01	0.0	0.2570739999999999
1483	314	1	1	3	3	6	1	1.0	1	2012	4	21	6	12.83333333	36	0	0	0	22233	5.478888888999999	1.818333333	0.145	0.5166666670000001	0.133333333	0.366666667	3	1.236944444	6.3	4.04	0.0	0.5104420000000001
1491	316	1	0	3	3	1	4	1.0	1	2012	4	21	6	12.5	19	1	0	1	5190	1.3	0.359166667	0.145277778	0.0	0.586111111	0.0	0	0.438055556	1.5	1.03	0.0	0.4020289999999999
1519	321	3	3	1	3	2	5	0.0	1	2012	4	21	6	13.51666667	7	1	0	2	319	0.064722222	0.015555556	0.0	0.0	0.021111111	0.0	0	0.0097222219999999	0.0	0.03	0.0	0.4
1520	321	4	0	1	3	2	5	0.0	1	2012	4	21	6	11.33333333	6	1	0	2	319	0.063055556	0.0141666669999999	0.0	0.0	0.0175	0.0	0	0.011111111	0.0	0.04	0.0	0.275
1529	324	1	5	4	3	1	1	1.0	1	2012	4	21	6	18.0	48	0	1	2	1251	0.393611111	0.144444444	0.047777778	0.0	0.1166666669999999	0.0	0	0.124722222	1.5	0.36	0.0	0.193764
1574	329	0	3	3	3	6	1	1.0	1	2012	4	22	7	20.0	39	0	0	0	5855	1.329722222	0.498333333	0.171388889	0.0	0.3833333329999999	0.0	0	0.379166667	1.5	0.87	0.0	0.5450550000000001
1576	330	1	1	2	1	6	1	1.0	1	2012	4	22	7	14.5	27	0	1	0	6529	1.5483333330000002	0.5025	0.254444444	0.316666667	0.0	0.083333333	1	0.449444444	2.4	1.1	0.0	0.548826
1638	344	0	1	3	3	6	1	1.0	1	2012	4	22	7	14.75	38	0	0	0	694	0.18	0.065555556	0.078333333	0.0	0.06	0.0	0	0.068055556	1.5	0.15	0.0	0.2
1668	351	0	0	3	2	1	4	0.5	1	2012	4	23	1	8.5	22	1	0	1	16961	3.713055556	1.278055556	0.190277778	0.6166666670000001	0.0	0.1	1	0.8977777779999999	2.6	2.72	10.5	0.6732670000000001
1696	354	0	0	1	3	6	1	1.0	1	2012	4	23	1	10.5	19	0	0	0	758	0.310833333	0.099722222	0.191944444	0.0	0.033333333	0.0	0	0.0872222219999999	1.5	0.2	0.0	0.0828025
1697	354	0	1	1	3	6	1	1.0	1	2012	4	23	1	11.0	19	0	0	0	758	0.296111111	0.101388889	0.137222222	0.0	0.05	0.0	0	0.100833333	1.5	0.22	0.0	0.0881543
1731	363	2	1	1	1	1	1	1.0	1	2012	4	24	2	12.0	18	1	0	1	1328	0.2925	0.086944444	0.118888889	0.0	0.1180555559999999	0.0	0	0.049444444	1.5	0.17	0.0	0.219101
1801	374	1	3	4	1	1	1	1.0	1	2012	4	25	3	9.383333333	45	0	1	1	1449	0.329444444	0.091666667	0.2691666669999999	0.0	0.074166667	0.0	0	0.0925	1.5	0.25	0.0	0.015015
1807	375	0	1	2	5	6	1	1.0	1	2012	4	25	3	17.5	32	0	1	0	2403	0.646944444	0.224166667	0.078055556	0.083333333	0.0	0.1166666669999999	1	0.190555556	2.4	0.44	0.0	0.588921
1811	376	1	2	4	3	1	1	1.0	1	2012	4	25	3	19.25	54	0	1	1	4653	1.113055556	0.296111111	0.206111111	0.0	0.2166666669999999	0.0	0	0.190277778	1.5	0.69	0.0	0.110949
1815	377	1	1	3	1	2	1	1.0	1	2012	4	25	3	18.0	32	1	0	1	8282	2.108055556	0.646388889	0.208611111	0.15	0.373611111	0.25	2	0.663055556	4.7	1.47	0.0	0.528697
1830	379	1	1	3	2	1	3	0.0	1	2012	4	25	3	15.83333333	14	1	0	1	860	0.238055556	0.080833333	0.0430555559999999	0.0	0.1	0.0	0	0.059444444	0.0	0.16	0.0	0.303738
1836	381	0	0	3	4	1	1	1.0	1	2012	4	26	4	8.5	42	0	1	1	19984	4.464722222	1.413055556	0.195	0.483333333	0.0	0.183333333	2	1.372222222	7.8	3.55	10.5	0.75668
1842	381	1	2	4	3	1	1	1.0	1	2012	4	26	4	14.5	37	1	1	1	2111	0.5175	0.212222222	0.074722222	0.0	0.164722222	0.173888889	1	0.131944444	3.0	0.4	0.0	0.231579
1853	382	1	1	4	4	5	1	1.0	1	2012	4	26	4	13.5	25	0	1	2	4063	1.073611111	0.4427777779999999	0.270833333	0.133333333	0.0	0.0	0	0.495833333	2.4	1.41	10.5	0.666667
1897	393	0	5	4	3	2	1	1.0	1	2012	4	27	5	23.16666667	43	0	1	2	6282	1.501944444	0.543888889	0.140555556	0.1	0.286666667	0.1	1	0.319444444	3.9	0.94	0.0	0.6
1910	397	1	3	4	5	1	1	1.0	1	2012	4	27	5	9.083333333	38	1	1	2	479	0.133888889	0.055833333	0.076944444	0.0	0.0352777779999999	0.0	0	0.046944444	1.5	0.11	0.0	0.301775
1965	408	5	0	4	3	1	5	0.0	1	2012	4	28	6	13.0	7	0	0	1	18692	4.610833333	1.3902777780000002	0.339444444	0.6166666670000001	0.1425	0.1166666669999999	1	1.026111111	0.0	4.31	0.0	0.5711970000000001
1966	408	5	1	4	3	1	5	0.0	1	2012	4	28	6	19.0	7	0	0	1	18692	4.701666667	1.3811111109999998	0.1397222219999999	0.5166666670000001	0.401666667	0.2	2	0.784444444	0.0	4.02	0.0	0.40687
1983	410	3	1	4	5	2	3	0.0	1	2012	4	28	6	12.0	11	1	0	2	5107	1.339166667	0.459444444	0.3075	0.0	0.316666667	0.0	0	0.217777778	0.0	1.1	0.0	0.173469
1994	415	0	1	4	3	2	1	1.0	1	2012	4	28	6	9.666666667	34	0	1	1	4716	1.15	0.3433333329999999	0.043888889	0.0	0.3908333329999999	0.109166667	1	0.251944444	3.0	0.69	0.0	0.133407
2009	418	0	1	4	3	1	5	0.0	1	2012	4	28	6	10.83333333	62	0	1	1	2192	0.495555556	0.126388889	0.045277778	0.0	0.18	0.0	0	0.138611111	0.0	0.37	0.0	0.623246
2054	429	1	0	4	3	1	1	0.0	1	2012	4	29	7	13.0	52	0	1	2	11624	2.839722222	0.833888889	0.208888889	0.2	0.325	0.305555556	3	0.597777778	1.5	1.94	0.0	0.323885
2059	431	1	0	4	3	1	1	1.0	1	2012	4	29	7	10.75	26	0	1	1	26161	6.3155555560000005	1.93	0.283611111	1.083333333	0.193611111	0.316666667	3	1.0975	4.6	7.49	0.0	0.212098
2083	436	4	0	4	5	2	5	0.0	1	2012	4	29	7	17.0	8	0	0	1	2212	0.5425	0.175555556	0.157222222	0.0	0.177777778	0.0	0	0.15	0.0	0.37	0.0	0.1796299999999999
2086	436	5	0	4	5	2	5	0.0	1	2012	4	29	7	17.0	7	1	0	1	2212	0.5425	0.175555556	0.157222222	0.0	0.177777778	0.0	0	0.15	0.0	0.37	0.0	0.1796299999999999
2107	443	0	1	3	5	1	5	0.0	1	2012	4	30	1	10.5	83	0	1	2	1582	0.3425	0.098611111	0.0502777779999999	0.033333333	0.0	0.0	0	0.102777778	0.0	0.26	0.0	0.3216219999999999
2114	444	3	1	3	2	6	3	0.0	1	2012	4	30	1	16.0	15	1	0	0	6870	1.798611111	0.567222222	0.205	0.1	0.316666667	0.1	1	0.330833333	0.85	1.06	0.0	0.4609569999999999
2132	445	4	1	3	2	6	5	0.0	1	2012	4	30	1	14.66666667	5	1	0	0	6289	1.525555556	0.421388889	0.136388889	0.0	0.419166667	0.15	1	0.3266666669999999	0.0	1.01	0.0	0.5059520000000001
2188	457	0	0	4	2	1	1	1.0	1	2012	4	30	1	8.166666667000001	36	1	1	1	1879	0.437222222	0.135277778	0.177777778	0.0	0.135277778	0.0	0	0.135555556	1.5	0.34	0.0	0.194672
2211	458	2	3	4	3	1	5	0.0	1	2012	4	30	1	19.0	11	1	0	2	1577	0.379722222	0.106111111	0.203055556	0.0	0.0611111109999999	0.0	0	0.113055556	0.0	0.35	0.0	0.199017
2212	459	0	0	3	1	6	1	1.0	1	2012	4	30	1	8.5	36	1	1	0	2990	0.6886111109999999	0.2944444439999999	0.1197222219999999	0.1	0.0	0.0	0	0.259722222	1.5	0.72	0.0	0.363636
2231	465	0	2	4	3	1	1	1.0	1	2012	5	1	2	15.0	37	1	1	1	2288	0.623611111	0.2213888889999999	0.150833333	0.0	0.171388889	0.0	0	0.137777778	1.5	0.42	0.0	0.205645
